venderId,shopId,beans,url
1000000121,1000000121,1,https://mall.jd.com/index-1000000121.html
1000000175,1000000175,1,https://mall.jd.com/index-1000000175.html
1000000176,1000000176,1,https://mall.jd.com/index-1000000176.html
1000000187,1000000187,1,https://mall.jd.com/index-1000000187.html
1000000276,1000000276,0,https://mall.jd.com/index-1000000276.html
1000000307,1000000307,1,https://mall.jd.com/index-1000000307.html
1000000314,1000000314,1,https://mall.jd.com/index-1000000314.html
1000000331,1000000331,0,https://mall.jd.com/index-1000000331.html
1000000343,1000000343,1,https://mall.jd.com/index-1000000343.html
1000000404,1000000404,1,https://mall.jd.com/index-1000000404.html
1000000437,1000000437,1,https://mall.jd.com/index-1000000437.html
1000000446,1000000446,1,https://mall.jd.com/index-1000000446.html
1000000492,1000000492,1,https://mall.jd.com/index-1000000492.html
1000000529,1000000529,0,https://mall.jd.com/index-1000000529.html
1000000557,1000000557,1,https://mall.jd.com/index-1000000557.html
1000000567,1000000567,1,https://mall.jd.com/index-1000000567.html
1000000582,1000000582,1,https://mall.jd.com/index-1000000582.html
1000000691,1000000691,1,https://mall.jd.com/index-1000000691.html
1000000715,1000000715,1,https://mall.jd.com/index-1000000715.html
1000000725,1000000725,0,https://mall.jd.com/index-1000000725.html
1000000742,1000000742,1,https://mall.jd.com/index-1000000742.html
1000000745,1000000745,1,https://mall.jd.com/index-1000000745.html
1000000747,1000000747,0,https://mall.jd.com/index-1000000747.html
1000000748,1000000748,0,https://mall.jd.com/index-1000000748.html
1000000749,1000000749,1,https://mall.jd.com/index-1000000749.html
1000000750,1000000750,1,https://mall.jd.com/index-1000000750.html
1000000754,1000000754,0,https://mall.jd.com/index-1000000754.html
1000000764,1000000764,0,https://mall.jd.com/index-1000000764.html
1000000830,1000000830,0,https://mall.jd.com/index-1000000830.html
1000000837,1000000837,0,https://mall.jd.com/index-1000000837.html
1000000844,1000000844,1,https://mall.jd.com/index-1000000844.html
1000000862,1000000862,0,https://mall.jd.com/index-1000000862.html
1000000900,1000000900,1,https://mall.jd.com/index-1000000900.html
1000000904,1000000904,1,https://mall.jd.com/index-1000000904.html
1000000907,1000000907,0,https://mall.jd.com/index-1000000907.html
1000000921,1000000921,0,https://mall.jd.com/index-1000000921.html
1000000928,1000000928,1,https://mall.jd.com/index-1000000928.html
1000000930,1000000930,1,https://mall.jd.com/index-1000000930.html
1000000934,1000000934,1,https://mall.jd.com/index-1000000934.html
1000000937,1000000937,1,https://mall.jd.com/index-1000000937.html
1000000949,1000000949,0,https://mall.jd.com/index-1000000949.html
1000000950,1000000950,1,https://mall.jd.com/index-1000000950.html
1000000952,1000000952,1,https://mall.jd.com/index-1000000952.html
1000000981,1000000981,1,https://mall.jd.com/index-1000000981.html
1000001031,1000001031,1,https://mall.jd.com/index-1000001031.html
1000001048,1000001048,1,https://mall.jd.com/index-1000001048.html
1000001061,1000001061,1,https://mall.jd.com/index-1000001061.html
1000001064,1000001064,1,https://mall.jd.com/index-1000001064.html
1000001086,1000001086,1,https://mall.jd.com/index-1000001086.html
1000001089,1000001089,1,https://mall.jd.com/index-1000001089.html
1000001091,1000001091,1,https://mall.jd.com/index-1000001091.html
1000001095,1000001095,1,https://mall.jd.com/index-1000001095.html
1000001098,1000001098,1,https://mall.jd.com/index-1000001098.html
1000001104,1000001104,1,https://mall.jd.com/index-1000001104.html
1000001105,1000001105,1,https://mall.jd.com/index-1000001105.html
1000001111,1000001111,1,https://mall.jd.com/index-1000001111.html
1000001123,1000001123,1,https://mall.jd.com/index-1000001123.html
1000001139,1000001139,1,https://mall.jd.com/index-1000001139.html
1000001140,1000001140,1,https://mall.jd.com/index-1000001140.html
1000001143,1000001143,2,https://mall.jd.com/index-1000001143.html
1000001167,1000001167,1,https://mall.jd.com/index-1000001167.html
1000001187,1000001187,0,https://mall.jd.com/index-1000001187.html
1000001190,1000001190,1,https://mall.jd.com/index-1000001190.html
1000001202,1000001202,1,https://mall.jd.com/index-1000001202.html
1000001212,1000001212,1,https://mall.jd.com/index-1000001212.html
1000001223,1000001223,1,https://mall.jd.com/index-1000001223.html
1000001228,1000001228,0,https://mall.jd.com/index-1000001228.html
1000001232,1000001232,1,https://mall.jd.com/index-1000001232.html
1000001238,1000001238,1,https://mall.jd.com/index-1000001238.html
1000001243,1000001243,1,https://mall.jd.com/index-1000001243.html
1000001254,1000001254,1,https://mall.jd.com/index-1000001254.html
1000001262,1000001262,1,https://mall.jd.com/index-1000001262.html
1000001267,1000001267,0,https://mall.jd.com/index-1000001267.html
1000001283,1000001283,1,https://mall.jd.com/index-1000001283.html
1000001285,1000001285,1,https://mall.jd.com/index-1000001285.html
1000001290,1000001290,1,https://mall.jd.com/index-1000001290.html
1000001291,1000001291,1,https://mall.jd.com/index-1000001291.html
1000001293,1000001293,1,https://mall.jd.com/index-1000001293.html
1000001316,1000001316,1,https://mall.jd.com/index-1000001316.html
1000001317,1000001317,1,https://mall.jd.com/index-1000001317.html
1000001325,1000001325,1,https://mall.jd.com/index-1000001325.html
1000001342,1000001342,1,https://mall.jd.com/index-1000001342.html
1000001359,1000001359,1,https://mall.jd.com/index-1000001359.html
1000001361,1000001361,1,https://mall.jd.com/index-1000001361.html
1000001383,1000001383,1,https://mall.jd.com/index-1000001383.html
1000001391,1000001391,1,https://mall.jd.com/index-1000001391.html
1000001392,1000001392,0,https://mall.jd.com/index-1000001392.html
1000001402,1000001402,1,https://mall.jd.com/index-1000001402.html
1000001412,1000001412,1,https://mall.jd.com/index-1000001412.html
1000001414,1000001414,1,https://mall.jd.com/index-1000001414.html
1000001429,1000001429,1,https://mall.jd.com/index-1000001429.html
1000001434,1000001434,1,https://mall.jd.com/index-1000001434.html
1000001462,1000001462,1,https://mall.jd.com/index-1000001462.html
1000001465,1000001465,1,https://mall.jd.com/index-1000001465.html
1000001485,1000001485,1,https://mall.jd.com/index-1000001485.html
1000001491,1000001491,1,https://mall.jd.com/index-1000001491.html
1000001504,1000001504,0,https://mall.jd.com/index-1000001504.html
1000001507,1000001507,1,https://mall.jd.com/index-1000001507.html
1000001521,1000001521,1,https://mall.jd.com/index-1000001521.html
1000001564,1000001564,0,https://mall.jd.com/index-1000001564.html
1000001582,1000001582,1,https://mall.jd.com/index-1000001582.html
1000001595,1000001595,1,https://mall.jd.com/index-1000001595.html
1000001603,1000001603,1,https://mall.jd.com/index-1000001603.html
1000001606,1000001606,1,https://mall.jd.com/index-1000001606.html
1000001612,1000001612,1,https://mall.jd.com/index-1000001612.html
1000001613,1000001613,1,https://mall.jd.com/index-1000001613.html
1000001620,1000001620,1,https://mall.jd.com/index-1000001620.html
1000001621,1000001621,1,https://mall.jd.com/index-1000001621.html
1000001623,1000001623,1,https://mall.jd.com/index-1000001623.html
1000001624,1000001624,1,https://mall.jd.com/index-1000001624.html
1000001691,1000001691,0,https://mall.jd.com/index-1000001691.html
1000001700,1000001700,1,https://mall.jd.com/index-1000001700.html
1000001717,1000001717,1,https://mall.jd.com/index-1000001717.html
1000001737,1000001737,1,https://mall.jd.com/index-1000001737.html
1000001740,1000001740,0,https://mall.jd.com/index-1000001740.html
1000001743,1000001743,1,https://mall.jd.com/index-1000001743.html
1000001746,1000001746,0,https://mall.jd.com/index-1000001746.html
1000001747,1000001747,1,https://mall.jd.com/index-1000001747.html
1000001774,1000001774,1,https://mall.jd.com/index-1000001774.html
1000001782,1000001782,0,https://mall.jd.com/index-1000001782.html
1000001788,1000001788,1,https://mall.jd.com/index-1000001788.html
1000001789,1000001789,1,https://mall.jd.com/index-1000001789.html
1000001797,1000001797,1,https://mall.jd.com/index-1000001797.html
1000001798,1000001798,1,https://mall.jd.com/index-1000001798.html
